"id","migration","batch"
"1","2014_10_12_000000_create_users_table","1"
"2","2014_10_12_100000_create_password_reset_tokens_table","1"
"3","2019_08_19_000000_create_failed_jobs_table","1"
"4","2019_12_14_000001_create_personal_access_tokens_table","1"
"5","2024_01_16_032819_create_permission_tables","1"
"6","2024_01_16_084144_add_group_name_to_permissions","1"
"7","2024_01_19_082830_create_property_types_table","1"
"8","2024_01_23_045929_create_menu_table","1"
"9","2024_01_24_073636_add_url_and_status_to_menus_table","1"
"10","2024_01_24_074336_add_modify_to_menus_table","2"
"11","2024_03_01_043224_create_requested_user_table","3"
"12","2024_03_01_053638_create_requested_user_table","4"
"13","2024_03_06_082919_create_form_input_tables","5"
"14","2024_03_06_091901_add_status__to_tbl_form_input_table","6"
"15","2024_03_07_031323_create__test_table","7"
"16","2024_03_07_070257_add_column_to_property_types_table","8"
"17","2024_03_07_083040_add_status_to_property_types_table","9"
"18","2024_03_07_112526_modify_tbl_form_input--table=tbl_form_input","10"
"19","2024_03_13_044244_add_column_to_tbl_form_input_table","11"
"20","2024_03_13_070238_add_column_to_tbl_form_input_table","12"
"21","2024_03_14_093809_add_column_ip_address_to_users_table","13"
